ds,yhat
2025-01-01,372.5092184
2025-02-01,338.8149572704192
2025-03-01,308.3814310871095
2025-04-01,274.68716995710133
2025-05-01,242.07982047968898
2025-06-01,208.38555934934527
2025-07-01,175.77820986384972
2025-08-01,142.08394873264174
2025-09-01,108.38968760370514
2025-10-01,75.78233812599497
2025-11-01,42.088076999027784
2025-12-01,9.480727521317558
2026-01-01,-24.21353360564963
2026-02-01,-57.90779473261688
2026-03-01,-88.34132091181301
2026-04-01,-122.0355820387802
2026-05-01,-154.64293151649042
2026-06-01,-188.33719264345757
2026-07-01,-220.94454212116779
2026-08-01,-254.63880324813502
2026-09-01,-288.33306437510214
2026-10-01,-320.9404138528125
2026-11-01,-354.6346749797796
2026-12-01,-387.2420244574898
