ds,yhat
2025-01-01,304.01675487
2025-02-01,284.159818485
2025-03-01,266.22452112031357
2025-04-01,246.36758476743748
2025-05-01,227.15119476609186
2025-06-01,207.2942584301628
2025-07-01,188.07786844051623
2025-08-01,168.2209321297318
2025-09-01,148.36399580937564
2025-10-01,129.14760584045823
2025-11-01,109.29066953924355
2025-12-01,90.0742795703261
2026-01-01,70.21734326911142
2026-02-01,50.36040696789673
2026-03-01,32.42510966357378
2026-04-01,12.56817336235916
2026-05-01,-6.648216606558348
2026-06-01,-26.505152907772963
2026-07-01,-45.721542876690414
2026-08-01,-65.57847917790514
2026-09-01,-85.43541547911975
2026-10-01,-104.65180544803727
2026-11-01,-124.50874174925188
2026-12-01,-143.72513171816934
