ds,yhat
2025-01-01,340.36457985
2025-02-01,307.2370777805921
2025-03-01,277.3154629992996
2025-04-01,244.18796089585726
2025-05-01,212.1290878678924
2025-06-01,179.0015857215112
2025-07-01,146.94271265748512
2025-08-01,113.81521051659935
2025-09-01,80.68770839011158
2025-10-01,48.628835364478306
2025-11-01,15.50133323799054
2025-12-01,-16.557539787642735
2026-01-01,-49.6850419141305
2026-02-01,-82.81254404061822
2026-03-01,-112.73415886454265
2026-04-01,-145.86166099103036
2026-05-01,-177.92053401666368
2026-06-01,-211.0480361431515
2026-07-01,-243.10690916878474
2026-08-01,-276.23441129527254
2026-09-01,-309.3619134217603
2026-10-01,-341.4207864473936
2026-11-01,-374.5482885738813
