ds,yhat
2025-01-01,165.8786416
2025-02-01,162.96513402847373
2025-03-01,160.33357880712242
2025-04-01,157.42007123325968
2025-05-01,154.60054775996852
2025-06-01,151.68704017775607
2025-07-01,148.86751670660996
2025-08-01,145.95400910399454
2025-09-01,143.04050149661947
2025-10-01,140.22097800561136
2025-11-01,137.30747039823626
2025-12-01,134.48794690722815
2026-01-01,131.5744392998531
2026-02-01,128.66093169247804
2026-03-01,126.02937643420378
2026-04-01,123.1158688268287
2026-05-01,120.29634533582058
2026-06-01,117.38283772844551
2026-07-01,114.5633142374374
2026-08-01,111.64980663006232
2026-09-01,108.73629902268726
2026-10-01,105.91677553167912
2026-11-01,103.00326792430407
