ds,yhat
2025-04-01,305.00190085
2025-05-01,282.3172416286885
2025-06-01,258.87642705815125
2025-07-01,236.19176781839434
2025-08-01,212.75095325517867
2025-09-01,189.31013870409996
2025-10-01,166.6254794439505
2025-11-01,143.18466486151962
2025-12-01,120.50000558819944
2026-01-01,97.05919100576857
2026-02-01,73.61837642333771
2026-03-01,52.44602776823887
2026-04-01,29.005213185807985
2026-05-01,6.3205539124877985
2026-06-01,-17.12026066994304
2026-07-01,-39.80491994326323
2026-08-01,-63.24573452569411
2026-09-01,-86.68654910812491
2026-10-01,-109.37120838144514
2026-11-01,-132.812022963876
2026-12-01,-155.49668223719615
