ds,yhat
2025-01-01,187.15404852
2025-02-01,187.50765884502246
2025-03-01,187.82704881962576
2025-04-01,188.1806591494289
2025-05-01,188.52286269289652
2025-06-01,188.87647302414908
2025-07-01,189.21867657512382
2025-08-01,189.57228691537105
2025-09-01,189.92589725328904
2025-10-01,190.26810080300046
2025-11-01,190.62171113770228
2025-12-01,190.96391468741368
2026-01-01,191.31752502211546
2026-02-01,191.6711353568173
2026-03-01,191.99052533654796
2026-04-01,192.34413567124975
2026-05-01,192.68633922096117
2026-06-01,193.039949555663
2026-07-01,193.3821531053744
2026-08-01,193.7357634400762
2026-09-01,194.089373774778
2026-10-01,194.43157732448944
2026-11-01,194.78518765919122
2026-12-01,195.12739120890265
