ds,yhat
2025-01-01,144.1493235
2025-02-01,153.7719808794872
2025-03-01,162.46341334718306
2025-04-01,172.08607073000468
2025-05-01,181.39831981779133
2025-06-01,191.02097720426866
2025-07-01,200.3332262853539
2025-08-01,209.9558836620757
2025-09-01,219.57854104098973
2025-10-01,228.89079011735816
2025-11-01,238.51344749627214
2025-12-01,247.82569657264057
2026-01-01,257.44835395155457
2026-02-01,267.07101133046865
2026-03-01,275.76244380174586
2026-04-01,285.38510118065983
2026-05-01,294.69735025702823
2026-06-01,304.32000763594226
2026-07-01,313.63225671231066
2026-08-01,323.25491409122475
2026-09-01,332.8775714701387
2026-10-01,342.1898205465072
