ds,yhat
2025-02-01,108.24779365
2025-03-01,122.43841252775577
2025-04-01,138.1494548544774
2025-05-01,153.35368936170605
2025-06-01,169.06473168950143
2025-07-01,184.26896619838342
2025-08-01,199.98000852346124
2025-09-01,215.6910508467719
2025-10-01,230.89528535367282
2025-11-01,246.60632767747038
2025-12-01,261.81056218437124
2026-01-01,277.5216045081689
2026-02-01,293.23264683196646
2026-03-01,307.42326570507396
2026-04-01,323.1343080288715
2026-05-01,338.33854253577243
2026-06-01,354.04958485956996
2026-07-01,369.25381936647096
2026-08-01,384.9648616902685
2026-09-01,400.6759040140661
2026-10-01,415.88013852096697
2026-11-01,431.59118084476455
2026-12-01,446.7954153516655
