ds,yhat
2025-01-01,252.47938788000002
2025-02-01,236.50443287784438
2025-03-01,222.07544125271582
2025-04-01,206.10048623395207
2025-05-01,190.64085234176488
2025-06-01,174.6658973281899
2025-07-01,159.20626345940659
2025-08-01,143.23130846817037
2025-09-01,127.25635348111481
2025-10-01,111.7967196124696
2025-11-01,95.82176461486951
2025-12-01,80.36213074622427
2026-01-01,64.38717574862423
2026-02-01,48.41222075102412
2026-03-01,33.98322914028857
2026-04-01,18.0082741426885
2026-05-01,2.548640274043242
2026-06-01,-13.426314723556807
2026-07-01,-28.885948592202016
2026-08-01,-44.86090358980211
2026-09-01,-60.835858587402214
2026-10-01,-76.29549245604747
2026-11-01,-92.27044745364752
2026-12-01,-107.73008132229272
