ds,yhat
2025-01-01,129.088982
2025-02-01,136.03273698871794
2025-03-01,142.3045156820756
2025-04-01,149.24827065665548
2025-05-01,155.96803353414217
2025-06-01,162.91178850269813
2025-07-01,169.63155137906713
2025-08-01,176.57530635412485
2025-09-01,183.5190613322249
2025-10-01,190.23882421425728
2025-11-01,197.18257919235737
2025-12-01,203.9023420743897
2026-01-01,210.8460970524898
2026-02-01,217.78985203058986
2026-03-01,224.06163072048673
2026-04-01,231.0053856985868
2026-05-01,237.72514858061916
2026-06-01,244.6689035587192
2026-07-01,251.38866644075156
2026-08-01,258.33242141885165
2026-09-01,265.2761763969517
2026-10-01,271.9959392789841
