ds,yhat
2025-01-01,131.22071712000002
2025-02-01,136.95479027011976
2025-03-01,142.13395311682035
2025-04-01,147.86802625262848
2025-05-01,153.4171292987887
2025-06-01,159.15120243311222
2025-07-01,164.70030547377212
2025-08-01,170.4343786165792
2025-09-01,176.16845174944737
2025-10-01,181.71755476880185
2025-11-01,187.45162788880145
2025-12-01,193.0007309081559
2026-01-01,198.7348040281555
2026-02-01,204.46887714815517
2026-03-01,209.64803996621936
2026-04-01,215.38211308621894
2026-05-01,220.93121610557344
2026-06-01,226.66528922557305
2026-07-01,232.21439224492752
2026-08-01,237.94846536492716
2026-09-01,243.6825384849268
2026-10-01,249.23164150428127
2026-11-01,254.96571462428088
2026-12-01,260.51481764363535
