ds,yhat
2025-01-01,116.48838656
2025-02-01,117.05883664597606
2025-03-01,117.57408196046715
2025-04-01,118.14453229111368
2025-05-01,118.69658115355548
2025-06-01,119.26703170185895
2025-07-01,119.81908059904787
2025-08-01,120.38953127010646
2025-09-01,120.95998174322122
2025-10-01,121.51203062693183
2025-11-01,122.08248114009943
2025-12-01,122.63453002381004
2026-01-01,123.20498053697767
2026-02-01,123.77543105014529
2026-03-01,124.29067667494185
2026-04-01,124.86112718810948
2026-05-01,125.41317607182008
2026-06-01,125.98362658498769
2026-07-01,126.53567546869829
2026-08-01,127.10612598186593
2026-09-01,127.67657649503354
2026-10-01,128.22862537874414
2026-11-01,128.79907589191177
2026-12-01,129.35112477562237
