ds,yhat
2025-02-01,132.33316356
2025-03-01,143.76092496356438
2025-04-01,156.4130893732175
2025-05-01,168.65711996876934
2025-06-01,181.30928464550092
2025-07-01,193.55331498441896
2025-08-01,206.2054801629662
2025-09-01,218.85764594153306
2025-10-01,231.10167761465158
2025-11-01,243.753843676874
2025-12-01,255.99787534999254
2026-01-01,268.65004141221493
2026-02-01,281.3022074744374
2026-03-01,292.729970369348
2026-04-01,305.38213643157053
2026-05-01,317.62616810468893
2026-06-01,330.2783341669114
2026-07-01,342.5223658400299
2026-08-01,355.17453190225234
2026-09-01,367.8266979644748
2026-10-01,380.07072963759333
2026-11-01,392.72289569981575
2026-12-01,404.96692737293426
