ds,yhat
2025-01-01,143.18094639
2025-02-01,143.5143097231042
2025-03-01,143.81541208478507
2025-04-01,144.14877540486984
2025-05-01,144.47138507834035
2025-06-01,144.8047484051768
2025-07-01,145.12735807129823
2025-08-01,145.4607213872944
2025-09-01,145.79408470924153
2025-10-01,146.11669437197065
2025-11-01,146.4500576901241
2025-12-01,146.77266735285326
2026-01-01,147.10603067100672
2026-02-01,147.43939398916015
2026-03-01,147.74049634104068
2026-04-01,148.07385965919414
2026-05-01,148.39646932192326
2026-06-01,148.72983264007672
2026-07-01,149.05244230280587
2026-08-01,149.38580562095933
2026-09-01,149.71916893911276
2026-10-01,150.0417786018419
2026-11-01,150.37514191999534
2026-12-01,150.6977515827245
