ds,yhat
2025-01-01,206.92172313
2025-02-01,199.298634811497
2025-03-01,192.41326472304488
2025-04-01,184.79017637859366
2025-05-01,177.4129942101133
2025-06-01,169.78990607636177
2025-07-01,162.41272404292175
2025-08-01,154.78963590380584
2025-09-01,147.16654786517586
2025-10-01,139.78936583601973
2025-11-01,132.16627773922505
2025-12-01,124.78909571006893
2026-01-01,117.16600761327427
2026-02-01,109.54291951647961
2026-03-01,102.65754962260057
2026-04-01,95.03446152580592
2026-05-01,87.65727949664979
2026-06-01,80.03419139985515
2026-07-01,72.65700937069904
2026-08-01,65.03392127390435
2026-09-01,57.41083317710972
2026-10-01,50.03365114795359
2026-11-01,42.41056305115894
2026-12-01,35.03338102200281
