ds,yhat
2024-03-01,1068.92199063351
2024-04-01,2846.2027243117054
2024-05-01,3037.4404411554788
2024-06-01,3197.0053953309207
2024-07-01,2868.991807304445
2024-08-01,3733.5644780165985
2024-09-01,3100.726897137828
2024-10-01,2413.118241346908
2024-11-01,2373.957755188081
2024-12-01,1267.4136013352595
2025-01-01,5720.660769883624
2025-02-01,4402.855318418563
2025-03-01,1820.8508462469492
2025-04-01,2996.3166810414127
2025-05-01,2578.812228347931
2025-06-01,2274.278829748348
2025-07-01,1636.3405905732066
2025-08-01,2708.1989757621063
2025-09-01,2334.4535313573224
2025-10-01,2137.4551691934903
2025-11-01,2653.0004134389164
2025-12-01,2078.0510346311876
2026-01-01,2600.8598661771957
2026-02-01,2639.7972536343723
2026-03-01,2604.3265680818326
2026-04-01,3134.361960728417
2026-05-01,2094.664458159937
2026-06-01,1330.8788950164403
2026-07-01,401.5998044258199
2026-08-01,1695.7966652686273
2026-09-01,1589.6204231993772
2026-10-01,1882.4288774380257
2026-11-01,2935.7127641263232
2026-12-01,2832.282271291977
2027-01-01,-555.6732776287091
2027-02-01,921.1539046218134
2027-03-01,3417.5852030618253
2027-04-01,3258.908737789152
2027-05-01,1584.6888831046767
2027-06-01,367.3389241945868
2027-07-01,-834.2000631017762
2027-08-01,697.1021832811341
2027-09-01,866.4201605819337
2027-10-01,1647.2642351293787
2027-11-01,3220.5048554181653
2027-12-01,3529.052495987778
