ds,yhat
2025-01-01,138.49859964
2025-02-01,142.47438709554606
2025-03-01,146.06542089193562
2025-04-01,150.04120830346417
2025-05-01,153.88874447201633
2025-06-01,157.86453103285342
2025-07-01,161.7120664630885
2025-08-01,165.6878530753846
2025-09-01,169.66363971490722
2025-10-01,173.51117517250975
2025-11-01,177.4869618120324
2025-12-01,181.33449726963494
2026-01-01,185.3102839091576
2026-02-01,189.2860705486802
2026-03-01,192.87710364244256
2026-04-01,196.85289028196516
2026-05-01,200.70042573956775
2026-06-01,204.67621237909034
2026-07-01,208.5237478366929
2026-08-01,212.49953447621553
2026-09-01,216.47532111573815
2026-10-01,220.3228565733407
2026-11-01,224.2986432128633
