ds,yhat
2025-01-01,180.24172796000002
2025-02-01,186.35106928363473
2025-03-01,191.86918404967773
2025-04-01,197.97852539160422
2025-05-01,203.89079120765234
2025-06-01,210.0001325385861
2025-07-01,215.912398350732
2025-08-01,222.02173970562097
2025-09-01,228.13108105448234
2025-10-01,234.04334685395534
2025-11-01,240.15268818007743
2025-12-01,246.06495397955044
2026-01-01,252.17429530567253
2026-02-01,258.28363663179465
2026-03-01,263.8017513779695
2026-04-01,269.9110927040916
2026-05-01,275.8233585035646
2026-06-01,281.93269982968667
2026-07-01,287.8449656291597
2026-08-01,293.95430695528177
2026-09-01,300.06364828140386
2026-10-01,305.97591408087686
2026-11-01,312.085255406999
2026-12-01,317.997521206472
