ds,yhat
2025-02-01,280.36919063
2025-03-01,271.80971182692304
2025-04-01,262.33314601173834
2025-05-01,253.1622758681971
2025-06-01,243.6857100514192
2025-07-01,234.5148398981614
2025-08-01,225.0382740745911
2025-09-01,215.56170825179052
2025-10-01,206.3908380984525
2025-11-01,196.91427227333654
2025-12-01,187.7434021199985
2026-01-01,178.26683629488255
2026-02-01,168.79027046976663
2026-03-01,160.23079165998448
2026-04-01,150.75422583486852
2026-05-01,141.5833556815305
2026-06-01,132.10678985641457
2026-07-01,122.93591970307651
2026-08-01,113.45935387796057
2026-09-01,103.98278805284463
2026-10-01,94.81191789950658
2026-11-01,85.33535207439063
