ds,yhat
2025-04-01,189.35701644
2025-05-01,196.06599456098363
2025-06-01,202.9986052901537
2025-07-01,209.707583413117
2025-08-01,216.6401941332934
2025-09-01,223.5728048496094
2025-10-01,230.28178296217334
2025-11-01,237.21439367848942
2025-12-01,243.9233717910533
2026-01-01,250.85598250736933
2026-02-01,257.78859322368544
2026-03-01,264.0503061287451
2026-04-01,270.98291684506114
2026-05-01,277.69189495762504
2026-06-01,284.6245056739411
2026-07-01,291.33348378650504
2026-08-01,298.26609450282103
2026-09-01,305.19870521913714
2026-10-01,311.90768333170104
