ds,yhat
2025-02-01,177.67103516
2025-03-01,180.03022044533336
2025-04-01,182.64217559206173
2025-05-01,185.16987412180495
2025-06-01,187.78182927762498
2025-07-01,190.30952783000558
2025-08-01,192.92148299595038
2025-09-01,195.5334381732783
2025-10-01,198.0611367197001
2025-11-01,200.67309188433597
2025-12-01,203.20079043075773
2026-01-01,205.81274559539364
2026-02-01,208.42470076002945
2026-03-01,210.78388607002316
2026-04-01,213.39584123465897
2026-05-01,215.92353978108076
2026-06-01,218.53549494571664
2026-07-01,221.06319349213845
2026-08-01,223.6751486567743
2026-09-01,226.2871038214101
2026-10-01,228.81480236783193
2026-11-01,231.42675753246778
2026-12-01,233.9544560788896
